키워드,언론사,기사명,날짜,URL
한국일보,"10월 '위드 코로나' 검토, 가요계에 닥칠 변화는?",2021-09-30,https://hankookilbo.com/News/Read/A2021092911590000224?did=NA,코로나 생활 변화
한겨레,“코로나19 이후 읽기 시간 늘었다…종이책도 증가”,22면 1단,https://www.hani.co.kr/arti/culture/culture_general/1012827.html,코로나 생활 변화
뉴시스,"정부 ""코로나 재택치료, 수도권 272명…비수도권 확대""",2021-09-29,http://www.newsis.com/view/?id=NISX20210928_0001595524&cID=10201&pID=10200,코로나 생활 변화
경남도민일보,코로나,2021-09-30,http://www.idomin.com/news/articleView.html?idxno=773847,코로나 생활 변화
NSP통신,"경북도의회, 포스트코로나특별위원회 업무보고",2021-09-30,http://www.nspna.com/news/?mode=view&newsid=529315,코로나 생활 변화
세계일보,코로나 시대 사회적 거리두기에 책 대출 늘었다,2021-09-28,http://www.segye.com/content/html/2021/09/27/20210927511541.html?OutUrl=naver,코로나 생활 변화
건강다이제스트,코로나19에 가을장마…비타민D 부족 주의,2021-09-30,http://www.ikunkang.com/news/articleView.html?idxno=34563,코로나 생활 변화
인천뉴스,"인천시설공단 삼산월드체육관, 생활체육 혁신모델 논의",2021-09-30,http://www.incheonnews.com/news/articleView.html?idxno=404147,코로나 생활 변화
파이낸셜뉴스,코로나19 상황 속 공공도서관 일평균 대출 권수 38% 증가,2021-09-28,http://www.fnnews.com/news/202109270853587837,코로나 생활 변화
LG헬로비전,전북 코로나속 생활 문화활동 '소규모' 확대,2021-09-30,http://news.lghellovision.net/news/newsView.do?soCode=SCP0000000&idx=320182,코로나 생활 변화
단디뉴스,"[기후위기와 대응 ⑤] 지구 살리기, 녹색생활 실천으로",2021-09-30,http://www.dandinews.com/news/articleView.html?idxno=11339,코로나 생활 변화
어린이동아,코로나19로 집콕하며 독서량 쑥↑,2021-09-29,http://kids.donga.com/news/vv.php?type=news&id=20210928155412844279,코로나 생활 변화
BBS NEWS,"부산교육청, 12세~17세 코로나 백신 접종 대비는 어떻게?",2021-09-30,https://news.bbsi.co.kr/news/articleView.html?idxno=3045771,코로나 생활 변화
아이뉴스24,[초점] 코로나19로 뜬 '더마 화장품'…뷰티업계 vs 제약업계 '격돌',2021-09-29,http://www.inews24.com/view/1407367,코로나 생활 변화
글로벌경제,"기시다, 변화 추구하며 아베·스가 정책 노선 유지할듯",2021-09-30,http://www.getnews.co.kr/news/articleView.html?idxno=552356,코로나 생활 변화
금강일보,"아산시, 포스트 코로나 정책환경 변화 선제 대응",2021-09-29,http://www.ggilbo.com/news/articleView.html?idxno=870695,코로나 생활 변화
새전북신문,코로나에 지친 마음 치유 나선 전주시,2021-09-30,http://sjbnews.com/news/news.php?number=724569,코로나 생활 변화
아시아경제,"국민 90% ""코로나19 종식 불가능, 독감처럼 관리해야""",2021-09-28,https://view.asiae.co.kr/article/2021092710251617766,코로나 생활 변화
경기신문,‘위드 코로나’ 광주시 코로나19와 함께하는 방역 패러다임 전환,2021-09-29,https://www.kgnews.co.kr/news/article.html?no=668929,코로나 생활 변화
강원도민일보,"[제6회 군인가족 생활수기 대상] 슬기로운 군인,아내, 엄마？",2021-09-30,http://www.kado.net/news/articleView.html?idxno=1093111,코로나 생활 변화
이데일리,"코로나 4차 대유행에도 9월 소비자 심리지수, 석 달 만에 반등",2021-09-28,http://www.edaily.co.kr/news/newspath.asp?newsid=01180806629184712,코로나 생활 변화
펜앤드마이크,"위드코로나로 가기 위한 '80% 접종 완료율', 미접종자 설득에 달렸다",2021-09-30,http://www.pennmike.com/news/articleView.html?idxno=48035,코로나 생활 변화
뉴시스,"[대구소식]달서구, 초등 고학년 '찾아가는 기후변화 교실' 등",2021-09-29,http://www.newsis.com/view/?id=NISX20210928_0001595901&cID=10810&pID=10800,코로나 생활 변화
뉴시스,"서울시, 코로나19 이후 달라진 1인가구 생활 심층조사 실시",2021-09-27,http://www.newsis.com/view/?id=NISX20210924_0001592728&cID=10201&pID=10200,코로나 생활 변화
KOTRA해외시장뉴스,"케냐 유류세 인상, 코로나 이후 경기 회복 발목 잡나",2021-09-30,http://news.kotra.or.kr/user/extra/kotranews/bbs/linkView/jsp/Page.do?dataIdx=191021,코로나 생활 변화
뉴시스,"국민 10명 중 9명 ""코로나 종식 불가능…매년 백신 맞아야""",2021-09-28,http://www.newsis.com/view/?id=NISX20210927_0001593750&cID=10201&pID=10200,코로나 생활 변화
더스쿠프,[코로나19와 교육 사각지대⓬] 그림자를 봐야 대안이 보인다,2021-09-30,http://www.thescoop.co.kr/news/articleView.html?idxno=52032,코로나 생활 변화
헤드라인제주,"코로나19 호황 누린 제주 골프장, 다시 '중과세' 한다",2021-09-30,http://www.headlinejeju.co.kr/news/articleView.html?idxno=463752,코로나 생활 변화
위키트리,"포항시, 포스트 코로나 시대 살기 좋은 농촌 건설에 총력!!",2021-09-29,https://www.wikitree.co.kr/articles/692802,코로나 생활 변화
동아사이언스,코와 목 미생물 차이가 코로나 증상 유무 가른다,2021-09-30,https://www.dongascience.com/news/view/49556,코로나 생활 변화
뉴스1,‘코로나 확산 불구’ 대전·충남 9월 소비심리 103.7…3개월 만에 ‘반등’,2021-09-30,https://www.news1.kr/articles/?4447559,코로나 생활 변화
뉴시스,코로나 장기화속 공연·영화 반전...올 상반기 매출 증가,2021-09-24,http://www.newsis.com/view/?id=NISX20210923_0001591029&cID=10701&pID=10700,코로나 생활 변화
광주MBC,빅데이터 기획4: 코로나의 일상 잠식..'더' 우울해졌다,2021-09-30,https://kjmbc.co.kr/article/CaxM3kMG_Mtw4Eh3,코로나 생활 변화
중도일보,"경기도, 코로나19 대응 최전선 지방정부 국정감사 중단 요구",2021-09-30,http://www.joongdo.co.kr/web/view.php?key=20210929010005635,코로나 생활 변화
서울경제,"코로나19 백신 접종완료자, 델타 변이 감염자 밀접접촉해도 무증상땐 격리면제...",2021-09-24,https://www.sedaily.com/NewsView/22RKRIOFVS,코로나 생활 변화
오마이뉴스,"""확진자 3천명 돌파 최악?... 위드 코로나 1만명 대응 가능""",2021-09-29,http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002776604&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,코로나 생활 변화
MBC,[뉴스외전 코로나 브리핑] 단계적 일상 회복..미접종자 활동 제약 커지나?,2021-09-30,https://imnews.imbc.com/replay/2021/nw1400/article/6303748_34915.html,코로나 생활 변화
뉴시스,코로나19 유행에도 감염병 발생↓…방역수칙 준수 영향,2021-09-24,http://www.newsis.com/view/?id=NISX20210923_0001591555&cID=13101&pID=13100,코로나 생활 변화
독서신문,"책과사회연구소, '코로나19와 읽기 생활 변화 조사' 보고서 발표",2021-09-29,http://www.readersnews.com/news/articleView.html?idxno=104106,코로나 생활 변화
데일리한국,"[혁신전략] '코로나 블루' 해소 나선 맥도날드, 일상의 즐거움 선사",2021-09-30,https://daily.hankooki.com/lpage/column/202109/dh20210929103624148550.htm?s_ref=nv,코로나 생활 변화
동아사이언스,"""코로나19는 이제 안보 문제, 자국중심주의로 대응하다 더 악화됐다""",2021-09-29,https://www.dongascience.com/news/view/49535,코로나 생활 변화
오마이뉴스,"의견 분분한 코로나19 백신 부스터샷, 필요한가?",2021-09-27,http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002775856&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,코로나 생활 변화
노컷뉴스,제주 기업경기전망 10p↓…위드 코로나 전환해야,2021-09-29,https://www.nocutnews.co.kr/news/5630457,코로나 생활 변화
강원일보,"[홍천]처리 못한 홍천 생활 쓰레기 연간 1,600톤",10면 2단,http://www.kwnews.co.kr/nview.asp?aid=221092700063,코로나 생활 변화
헤드라인제주,코로나 위기 극복으로 삶에 활력을 불어넣자,2021-09-30,http://www.headlinejeju.co.kr/news/articleView.html?idxno=463795,코로나 생활 변화
브레이크뉴스,"국민 89.6%, “코로나19 종식 불가능 독감처럼 관리해야”",2021-09-28,http://www.breaknews.com/836035,코로나 생활 변화
조선일보,"폐경 여성, 코로나 백신 맞고 생리… 美 부작용 연구 착수",2021.09.22.,https://www.chosun.com/international/international_general/2021/09/22/5LBDAJSCBNAQFG263ARDB2URLY/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,코로나 생활 변화
한국경제,코로나로 '집콕'하자…책읽는 사람 늘었다,A30면 1단,https://www.hankyung.com/life/article/2021092785051,코로나 생활 변화
강원도민일보,"개인카드, 코로나 때문에 사용 줄고 연체액 늘었다",2021-09-30,http://www.kado.net/news/articleView.html?idxno=1093183,코로나 생활 변화
가톨릭신문,[생활 속 영성 이야기] (87) 부부로부터 시작되는 세상의 변화,2021-09-30,https://www.catholictimes.org/article/article_view.php?aid=360579,코로나 생활 변화
경남신문,10명 중 9명 “위드 코로나 준비해야”,2021-09-29,http://www.knnews.co.kr/news/articleView.php?idxno=1360638,코로나 생활 변화
인천일보,[환경칼럼] 코로나19와 고통 받는 노인들,2021-09-28,http://www.incheonilbo.com/news/articleView.html?idxno=1113869,코로나 생활 변화
KOTRA해외시장뉴스,"호주 건축코드, 기후변화와 코로나 영향으로 대대적인 변화 예고",2021-09-29,http://news.kotra.or.kr/user/extra/kotranews/bbs/linkView/jsp/Page.do?dataIdx=190983,코로나 생활 변화
대전일보,"[여론광장] 위드 코로나 시대, 내 마음속의 '힐링캠프' 찾기",2021-09-29,http://www.daejonilbo.com/news/newsitem.asp?pk_no=1488906,코로나 생활 변화
메디파나뉴스,[알고보자 2021 국정감사②]'위드코로나' 앞두고 원격의료 부상…'비대면진료...,2021-09-30,http://medipana.com/news/news_viewer.asp?NewsNum=285631&MainKind=A&NewsKind=5&vCount=12&vKind=1,코로나 생활 변화
서울경제,"‘코로나 뉴노멀’ 시대, 맞춤형 특화 시스템 선보인 신경주 더 퍼스트 데시앙...",2021-09-30,https://www.sedaily.com/NewsView/22RNIQFRC2,코로나 생활 변화
뉴시스,"'30만 자족도시' 목표 '광양', 경제회복·일자리확대·위드코로나 집중",2021-09-25,http://www.newsis.com/view/?id=NISX20210924_0001591886&cID=10899&pID=10800,코로나 생활 변화
경북신문,"포항, 포스트 코로나 시대 ˝농촌의 성장 동력 창출˝",2021-09-30,http://www.kbsm.net/default/index_view_page.php?idx=324642&part_idx=320,코로나 생활 변화
비즈니스포스트,"강원랜드 위드 코로나가 온다, 이삼걸 카지노에 더해 비카지노도 준비",2021-09-30,https://www.businesspost.co.kr/BP?command=article_view&num=252223,코로나 생활 변화
메디게이트뉴스,"장애인, 코로나19 위험성 17% 더 높아…“접종 우선순위 조정 필요”",2021-09-30,http://www.medigatenews.com/news/4138181176,코로나 생활 변화
뉴스1,코로나 이후 피싱사기 등 비대면 '지능범죄' 1.2분당 1건 발생,2021-09-26,https://www.news1.kr/articles/?4443149,코로나 생활 변화
이뉴스투데이,"서울시, 29일 포스트코로나 시대 청년실업 해결방안모색 연속 포럼",2021-09-29,http://www.enewstoday.co.kr/news/articleView.html?idxno=1514806,코로나 생활 변화
조선일보,"[기고] ‘위드 코로나’ 시대, 중환자 기준으로 방역 정책 개편해야",A33면 1단,https://www.chosun.com/opinion/contribution/2021/09/28/GPWASY5LGNCK7GHXORJO3TWYBI/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,코로나 생활 변화
중앙일보,"4배 비싼데 판매량은 2배 늘었다, 코로나로 뜬 여성용품",2021-09-27,https://www.joongang.co.kr/article/25009659,코로나 생활 변화
VOGUE,패션 피플 야스민 스웰의 삶을 변화시킨 이스트런던 집,2021-09-30,https://www.vogue.co.kr/2021/09/29/%ed%8c%a8%ec%85%98-%ed%94%bc%ed%94%8c-%ec%95%bc%ec%8a%a4%eb%af%bc-%ec%8a%a4%ec%9b%b0%ec%9d%98-%ec%82%b6%ec%9d%84-%eb%b3%80%ed%99%94%ec%8b%9c%ed%82%a8-%ec%9d%b4%ec%8a%a4%ed%8a%b8%eb%9f%b0%eb%8d%98/?utm_source=naver&utm_medium=partnership,코로나 생활 변화
팜뉴스,'위드 코로나' 시대 이끌 헬스케어 키워드 'B.A.S.E' 뜬다,2021-09-30,http://www.pharmnews.com/news/articleView.html?idxno=107525,코로나 생활 변화
CCTV뉴스,"[포커스온] '뉴 노멀' 시대, 변화하는 치안 환경",2021-09-29,http://www.cctvnews.co.kr/news/articleView.html?idxno=230597,코로나 생활 변화
문화뉴스,[한국정보문화원] 코로나19 장기화 이후 국민 문화생활 변화 양상은?,2021-09-25,http://www.mhns.co.kr/news/articleView.html?idxno=512339,코로나 생활 변화
의학신문,"국민 90% ""코로나19 종식 불가, 독감처럼 관리해야""",2021-09-28,http://www.bosa.co.kr/news/articleView.html?idxno=2158979,코로나 생활 변화
제주의소리,"제주 기업 경기전망 어두워...""코로나 리스크 여전하다""",2021-09-29,http://www.jejusori.net/news/articleView.html?idxno=333860,코로나 생활 변화
이데일리,“격리중인데 병원가도 될까요?”…코로나 자가격리 수칙 ‘총정리’,2021-09-25,http://www.edaily.co.kr/news/newspath.asp?newsid=02463286629183400,코로나 생활 변화
스포츠서울,코로나19 확산에 명절도 '비대면' 온라인 매출 급증,2021.09.22.,http://www.sportsseoul.com/news/read/1064347?ref=naver,코로나 생활 변화
한국농어촌방송,"서울시, 코로나19 이후 달라진 1인가구 생활 심층조사 실시",2021-09-28,http://www.newskr.kr/news/articleView.html?idxno=71545,코로나 생활 변화
EBN,"삼성·LG전자, 코로나 특수에 3분기 어닝 서프라이즈 예상",2021-09-27,https://www.ebn.co.kr/news/view/1501689/?sc=Naver,코로나 생활 변화
전국매일신문,"경기도공무원노조 ""코로나 위기 소모적인 국정감사 중단해야""",2021-09-29,http://www.jeonmae.co.kr/news/articleView.html?idxno=856198,코로나 생활 변화
경향신문,기차역 편의점도 코로나19 시대엔 '무인화',2021-09-27,https://www.khan.co.kr/national/national-general/article/202109260939001,코로나 생활 변화
안전신문,"[기고-김상영]코로나19 팬데믹 시대, 미래에 유념해야 할 것들",2021-09-30,https://www.safetynews.co.kr/news/articleView.html?idxno=208075,코로나 생활 변화
베이비뉴스,"코로나 상황 장기화... ADHD, 틱장애 등 소아정신과 질환 어떻게 관리할까?",2021-09-30,https://www.ibabynews.com/news/articleView.html?idxno=98774,코로나 생활 변화
국제뉴스,"포항시, 포스트 코로나 시대 살기 좋은 농촌 건설에 총력전",2021-09-29,http://www.gukjenews.com/news/articleView.html?idxno=2317339,코로나 생활 변화
MBC,[뉴스외전 코로나 브리핑] 단계적 일상 회복..미접종자 활동 제약 커지나?,2021-09-30,https://imnews.imbc.com/replay/2021/nw1400/article/6303748_34915.html,코로나 생활 변화
뉴시스,코로나19 유행에도 감염병 발생↓…방역수칙 준수 영향,2021-09-24,http://www.newsis.com/view/?id=NISX20210923_0001591555&cID=13101&pID=13100,코로나 생활 변화
독서신문,"책과사회연구소, '코로나19와 읽기 생활 변화 조사' 보고서 발표",2021-09-29,http://www.readersnews.com/news/articleView.html?idxno=104106,코로나 생활 변화
MBC강원영동,"위드 코로나 관문, 재택치료 만족도 높아",2021-09-29,https://mbcnewsgangwon.co.kr/article/txIDzXPktVylrZAw,코로나 생활 변화
데일리한국,"[혁신전략] '코로나 블루' 해소 나선 맥도날드, 일상의 즐거움 선사",2021-09-30,https://daily.hankooki.com/lpage/column/202109/dh20210929103624148550.htm?s_ref=nv,코로나 생활 변화
뉴스웨이,"기시다, 변화 추구하며 아베·스가 정책 노선 유지할 듯",2021-09-30,http://www.newsway.co.kr/news/view?tp=1&ud=2021092915361509666,코로나 생활 변화
동아사이언스,"""코로나19는 이제 안보 문제, 자국중심주의로 대응하다 더 악화됐다""",2021-09-29,https://www.dongascience.com/news/view/49535,코로나 생활 변화
오마이뉴스,"의견 분분한 코로나19 백신 부스터샷, 필요한가?",2021-09-27,http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002775856&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,코로나 생활 변화
노컷뉴스,제주 기업경기전망 10p↓…위드 코로나 전환해야,2021-09-29,https://www.nocutnews.co.kr/news/5630457,코로나 생활 변화
강원일보,"[홍천]처리 못한 홍천 생활 쓰레기 연간 1,600톤",10면 2단,http://www.kwnews.co.kr/nview.asp?aid=221092700063,코로나 생활 변화
헤드라인제주,코로나 위기 극복으로 삶에 활력을 불어넣자,2021-09-30,http://www.headlinejeju.co.kr/news/articleView.html?idxno=463795,코로나 생활 변화
브레이크뉴스,"국민 89.6%, “코로나19 종식 불가능 독감처럼 관리해야”",2021-09-28,http://www.breaknews.com/836035,코로나 생활 변화
조선일보,"폐경 여성, 코로나 백신 맞고 생리… 美 부작용 연구 착수",2021.09.22.,https://www.chosun.com/international/international_general/2021/09/22/5LBDAJSCBNAQFG263ARDB2URLY/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,코로나 생활 변화
이데일리,"코로나19 이후 달라진 1인가구의 삶…서울, 심층조사 착수",2021-09-27,http://www.edaily.co.kr/news/newspath.asp?newsid=01456326629184056,코로나 생활 변화
한국경제,코로나로 '집콕'하자…책읽는 사람 늘었다,A30면 1단,https://www.hankyung.com/life/article/2021092785051,코로나 생활 변화
Korea IT Times,코로나19 4차 대유행에도 체감경기 3개월만에 반등,2021-09-29,http://www.koreaittimes.com/news/articleView.html?idxno=108573,코로나 생활 변화
대전일보,코로나 4차 유행에도 소비심리는 회복…소비자심리지수 전달보다 1.3P 올라,2021-09-29,http://www.daejonilbo.com/news/newsitem.asp?pk_no=1488871,코로나 생활 변화
강원도민일보,"개인카드, 코로나 때문에 사용 줄고 연체액 늘었다",2021-09-30,http://www.kado.net/news/articleView.html?idxno=1093183,코로나 생활 변화
뉴스1,"국민 10명 중 9명 ""코로나19 종식 불가능, 독감처럼 관리해야""",2021-09-28,https://www.news1.kr/articles/?4444268,코로나 생활 변화
세계비즈,"사단법인 좋은변화, 배우 주원 글로벌 팬연합과 도시락 나눔 봉사활동 진행",2021-09-30,http://www.segyebiz.com/newsView/20210930505941?OutUrl=naver,코로나 생활 변화
NSP통신,"포항시, 포스트 코로나 시대 살기 좋은 농촌 건설에 총력",2021-09-29,http://www.nspna.com/news/?mode=view&newsid=528703,코로나 생활 변화
베타뉴스,코로나 4차 대유행에도...소비심리 석달 만에 '기지개',2021-09-29,http://www.betanews.net:8080/article/1282005.html,코로나 생활 변화
가톨릭신문,[생활 속 영성 이야기] (87) 부부로부터 시작되는 세상의 변화,2021-09-30,https://www.catholictimes.org/article/article_view.php?aid=360579,코로나 생활 변화
경남신문,10명 중 9명 “위드 코로나 준비해야”,2021-09-29,http://www.knnews.co.kr/news/articleView.php?idxno=1360638,코로나 생활 변화
뉴스웍스,"통계청 ""작년 코로나로 외부활동 줄면서 소비지출 감소""",2021-09-30,http://www.newsworks.co.kr/news/articleView.html?idxno=573307,코로나 생활 변화
국제뉴스,"대구시 달서구청, 찾아가는 기후변화 교실 추진",2021-09-29,http://www.gukjenews.com/news/articleView.html?idxno=2317018,코로나 생활 변화
인천일보,[환경칼럼] 코로나19와 고통 받는 노인들,2021-09-28,http://www.incheonilbo.com/news/articleView.html?idxno=1113869,코로나 생활 변화
KOTRA해외시장뉴스,"호주 건축코드, 기후변화와 코로나 영향으로 대대적인 변화 예고",2021-09-29,http://news.kotra.or.kr/user/extra/kotranews/bbs/linkView/jsp/Page.do?dataIdx=190983,코로나 생활 변화
이코노미스트,“매출 늘었는데 양극화는 커졌다”…잔혹한 위드 코로나 영화·공연계,2021-09-24,https://economist.co.kr/2021/09/23/industry/distribution/20210923172929641.html,코로나 생활 변화
대전일보,"[여론광장] 위드 코로나 시대, 내 마음속의 '힐링캠프' 찾기",2021-09-29,http://www.daejonilbo.com/news/newsitem.asp?pk_no=1488906,코로나 생활 변화
메디파나뉴스,[알고보자 2021 국정감사②]'위드코로나' 앞두고 원격의료 부상…'비대면진료...,2021-09-30,http://medipana.com/news/news_viewer.asp?NewsNum=285631&MainKind=A&NewsKind=5&vCount=12&vKind=1,코로나 생활 변화
서울경제,"‘코로나 뉴노멀’ 시대, 맞춤형 특화 시스템 선보인 신경주 더 퍼스트 데시앙...",2021-09-30,https://www.sedaily.com/NewsView/22RNIQFRC2,코로나 생활 변화
뉴시스,"'30만 자족도시' 목표 '광양', 경제회복·일자리확대·위드코로나 집중",2021-09-25,http://www.newsis.com/view/?id=NISX20210924_0001591886&cID=10899&pID=10800,코로나 생활 변화
뉴스핌,"공공도서관, 코로나19 속 일평균 대출 권수 38% 증가",2021-09-28,http://www.newspim.com/news/view/20210927000222,코로나 생활 변화
경북신문,"포항, 포스트 코로나 시대 ˝농촌의 성장 동력 창출˝",2021-09-30,http://www.kbsm.net/default/index_view_page.php?idx=324642&part_idx=320,코로나 생활 변화
비즈니스포스트,"강원랜드 위드 코로나가 온다, 이삼걸 카지노에 더해 비카지노도 준비",2021-09-30,https://www.businesspost.co.kr/BP?command=article_view&num=252223,코로나 생활 변화
메디게이트뉴스,"장애인, 코로나19 위험성 17% 더 높아…“접종 우선순위 조정 필요”",2021-09-30,http://www.medigatenews.com/news/4138181176,코로나 생활 변화
뉴스1,코로나 이후 피싱사기 등 비대면 '지능범죄' 1.2분당 1건 발생,2021-09-26,https://www.news1.kr/articles/?4443149,코로나 생활 변화
서울이코노미뉴스,'코로나 4차유행' 이기는 소비자...소비심리 3개월만에 반등,2021-09-29,http://www.seouleconews.com/news/articleView.html?idxno=62720,코로나 생활 변화
이뉴스투데이,"서울시, 29일 포스트코로나 시대 청년실업 해결방안모색 연속 포럼",2021-09-29,http://www.enewstoday.co.kr/news/articleView.html?idxno=1514806,코로나 생활 변화
조선일보,"[기고] ‘위드 코로나’ 시대, 중환자 기준으로 방역 정책 개편해야",A33면 1단,https://www.chosun.com/opinion/contribution/2021/09/28/GPWASY5LGNCK7GHXORJO3TWYBI/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,코로나 생활 변화
중앙일보,"4배 비싼데 판매량은 2배 늘었다, 코로나로 뜬 여성용품",2021-09-27,https://www.joongang.co.kr/article/25009659,코로나 생활 변화
뉴스토마토,코로나19 이후 독서 늘었다…종이책도 증가,2021-09-29,http://www.newstomato.com/ReadNews.aspx?no=1076277&inflow=N,코로나 생활 변화
VOGUE,패션 피플 야스민 스웰의 삶을 변화시킨 이스트런던 집,2021-09-30,https://www.vogue.co.kr/2021/09/29/%ed%8c%a8%ec%85%98-%ed%94%bc%ed%94%8c-%ec%95%bc%ec%8a%a4%eb%af%bc-%ec%8a%a4%ec%9b%b0%ec%9d%98-%ec%82%b6%ec%9d%84-%eb%b3%80%ed%99%94%ec%8b%9c%ed%82%a8-%ec%9d%b4%ec%8a%a4%ed%8a%b8%eb%9f%b0%eb%8d%98/?utm_source=naver&utm_medium=partnership,코로나 생활 변화
팜뉴스,'위드 코로나' 시대 이끌 헬스케어 키워드 'B.A.S.E' 뜬다,2021-09-30,http://www.pharmnews.com/news/articleView.html?idxno=107525,코로나 생활 변화
헬스조선,"국민 10명 중 9명 ""코로나19 종식 불가능, 독감처럼 관리해야""",2021-09-28,https://health.chosun.com/site/data/html_dir/2021/09/27/2021092701362.html,코로나 생활 변화
CCTV뉴스,"[포커스온] '뉴 노멀' 시대, 변화하는 치안 환경",2021-09-29,http://www.cctvnews.co.kr/news/articleView.html?idxno=230597,코로나 생활 변화
문화뉴스,[한국정보문화원] 코로나19 장기화 이후 국민 문화생활 변화 양상은?,2021-09-25,http://www.mhns.co.kr/news/articleView.html?idxno=512339,코로나 생활 변화
의학신문,"국민 90% ""코로나19 종식 불가, 독감처럼 관리해야""",2021-09-28,http://www.bosa.co.kr/news/articleView.html?idxno=2158979,코로나 생활 변화
제주의소리,"제주 기업 경기전망 어두워...""코로나 리스크 여전하다""",2021-09-29,http://www.jejusori.net/news/articleView.html?idxno=333860,코로나 생활 변화
아주경제,9월 소비자심리지수 103.8…코로나 4차 대유행에도 반등,2021-09-28,http://www.ajunews.com/view/20210928055419888,코로나 생활 변화
